title,genres,link
배드 블러드,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 드라마 미국 TV 프로그램,https://www.netflix.com/kr/title/80221787
크리미널: 영국,TV 프로그램·미스터리 TV 프로그램·범죄 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80216172
베스트 키드,무술 영화 가족 영화 미국 영화 영화·어린이 & 가족,https://www.netflix.com/kr/title/70125931
어쌔신 크리드,영화·SF 미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/80117445
폭풍의 질주,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/425231
S.W.A.T. 특수기동대,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/60029196
불꽃 소방대,일본 소년 만화를 만나다 액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/81143589
블랙 라이트닝,TV 드라마 미국 TV 프로그램 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/80178687
프랙처드,미국 영화 스릴러 영화,https://www.netflix.com/kr/title/80223997
환상의 버섯,다큐멘터리 영화 과학 & 자연 다큐멘터리 미국 영화,https://www.netflix.com/kr/title/81183477
대시 & 릴리,TV 드라마·로맨스 도서 원작 TV 프로그램 TV 프로그램·10대 TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/81037871
비열한 거리,액션 & 어드벤처,https://www.netflix.com/kr/title/70069211
더 헌팅,미국 영화 영화·도서 원작 호러 영화,https://www.netflix.com/kr/title/22003216
42,실화 바탕 영화 미국 영화 드라마 장르 영화,https://www.netflix.com/kr/title/70259169
내가 그 소녀들이다,미스터리 스릴러 영화,https://www.netflix.com/kr/title/81393386
밤이 온다,무술 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/80148162
섹스 앤 더 시티 2,로맨틱 코미디 미국 영화 영화·도서 원작 로맨스 영화 코미디,https://www.netflix.com/kr/title/70131315
아버지를 위한 노래,코미디 인디 영화,https://www.netflix.com/kr/title/70181626
트롤: 춤과 노래는 계속된다!,TV 프로그램·키즈 TV 만화 TV 프로그램·코미디,https://www.netflix.com/kr/title/80117560
수부라,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80081537
점퍼,영화·SF 미국 영화 영화·도서 원작 액션 & 어드벤처,https://www.netflix.com/kr/title/70083113
이번 생은 처음이라,한국 드라마 TV 프로그램·코미디,https://www.netflix.com/kr/title/81167119
10년,영화·SF,https://www.netflix.com/kr/title/81404298
다니엘 타이거,TV 프로그램·키즈 키즈 교육 영화 TV 만화,https://www.netflix.com/kr/title/70278879
나는 악마를 사랑했다,실화 바탕 영화 미국 영화 드라마 장르 영화 인디 영화,https://www.netflix.com/kr/title/81028570
브레이킹 배드 무비: 엘 카미노,TV 프로그램·범죄 미국 영화 TV 프로그램·스릴러 TV 드라마 미국 TV 프로그램 스릴러 영화,https://www.netflix.com/kr/title/81078819
아메리칸 파이 2,미국 영화 청춘 영화 코미디,https://www.netflix.com/kr/title/60021044
네가 남긴 혼돈,TV 프로그램·미스터리 도서 원작 TV 프로그램 TV 프로그램·10대 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/81033361
진짜로 일어날지도 몰라 기적,드라마 장르 영화 인디 영화,https://www.netflix.com/kr/title/70209136
아저씨,액션 & 어드벤처,https://www.netflix.com/kr/title/70159333
오징어와 고래,미국 영화 코미디 인디 영화,https://www.netflix.com/kr/title/70020750
우리의 지구,과학 & 자연 다큐멘터리 자연 & 생태 다큐멘터리 미국 TV 프로그램,https://www.netflix.com/kr/title/80049832
네버랜드를 찾아서,실화 바탕 영화 미국 영화 시대물 드라마 장르 영화,https://www.netflix.com/kr/title/70001999
언더월드2 - 에볼루션,영화·SF 미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/70042678
